Data tesseramento	Data ultima visita	Codice	Cognome	Nome	Ragione Sociale	Indirizzo	Localita	CAP	Provincia	Telefono	Data di Nascita	EMail	Consenso	Consenso Marketing
12/03/2015	18/10/2017	C700678	Greening	Pénélope	Murray-Feeney	4619 Declaration Court	Lianhe	26731		(858) 8956155	10/02/1990	tgreening0@fotki.com	NO	NO
25/02/2015	21/12/2017	C923674	Gotling	Aimée	Christiansen, Ernser and Reichel	3 Crescent Oaks Terrace	Coronel Suárez	22413		(968) 3890822	10/02/1963	bgotling1@nifty.com	NO	SI
03/07/2012	09/01/2018	C862629	Barlow	Clémence	Cummings Inc	6415 Di Loreto Avenue	Kikerino	22464		(420) 4498336	22/08/1977	rbarlow2@shareasale.com	SI	SI
18/06/2015	14/12/2017	C933931	Le Hucquet	Táng	Kuhic, Crona and Sanford	0 Maple Alley	Las Americas	20224	GUA	(223) 1218833	19/01/1983	rlehucquet3@ca.gov	SI	SI
11/12/2016	09/07/2018	C371238	Poultney	Crééz	Pouros, Breitenberg and Farrell	68145 Farragut Street	Tabuating	23316		(544) 7398320	24/10/1996	dpoultney4@merriam-webster.com	SI	NO
05/03/2017	28/03/2018	C338722	Rumbold	Cécile	Bednar-Goyette	7168 Hudson Junction	Jinsha	20094		(109) 6262829	13/12/1993	srumbold5@tripod.com	SI	SI
11/07/2011	26/03/2018	C692984	Tumayan	Vérane	Gleason Group	75 Gateway Street	Ono	29194		(968) 1255075	09/07/1978	vtumayan6@e-recht24.de	NO	NO
13/06/2012	07/11/2017	C811842	Betchley	Mén	Ziemann, Schoen and Cole	28 Parkside Junction	Outeiro	21557	01	(353) 6526742	10/05/1992	gbetchley7@altervista.org	SI	NO
16/08/2016	01/02/2018	C363276	Handman	Zoé	Stehr, Kilback and Tromp	6 Springs Point	Stockholm	29034	AB	(619) 4247061	24/02/1956	bhandman8@seesaa.net	NO	SI
02/09/2012	06/01/2018	C972458	Titta	Frédérique	Hickle-Johnston	60 Northview Park	Ariguaní	21969		(732) 2234585	28/08/1990	atitta9@mashable.com	SI	NO
14/02/2013	25/04/2018	C275858	Souttar	Kù	Grimes, Hegmann and O'Keefe	9 Hintze Terrace	Dashiren	22342		(206) 7904494	25/07/1961	dsouttara@timesonline.co.uk	SI	SI
10/10/2016	11/05/2018	C593427	Beminster	Eliès	Turner-Flatley	127 Green Point	Santa Monica	28270	CA	(310) 9301530	25/11/1990	abeminsterb@cam.ac.uk	SI	NO
22/02/2013	02/08/2018	C405991	Wallsam	Mélissandre	Willms Group	7737 Buhler Place	Kuhmo	26823		(641) 7334240	14/09/1985	swallsamc@shinystat.com	NO	SI
07/06/2012	03/09/2017	C787998	Lathbury	Eloïse	Davis LLC	60 Scott Avenue	Qingshuitang	25329		(413) 4332644	20/09/1982	glathburyd@ask.com	NO	NO
26/01/2013	01/05/2018	C635098	Sydry	Andréa	Hamill-Hahn	89306 Ridgeview Avenue	Tuohua	22905		(695) 4601199	01/10/1988	lsydrye@blogs.com	SI	NO
22/04/2017	07/01/2018	C52227	Coulling	Kévina	Reinger-Cummings	20 Vahlen Terrace	Dongshi	21610		(162) 7329787	09/07/1970	hcoullingf@homestead.com	SI	SI
27/04/2016	02/04/2018	C99801	Midlane	Agnès	Cartwright-Howell	11 Mariners Cove Junction	Alak	24121		(393) 7959597	31/03/1985	gmidlaneg@linkedin.com	NO	SI
26/01/2016	20/01/2018	C212571	Lodovichi	Cloé	Spinka and Sons	179 Esker Street	Västra Frölunda	23182	O	(756) 9605287	26/09/1970	alodovichih@gizmodo.com	SI	NO
23/07/2012	20/10/2017	C960598	Twamley	Cunégonde	Corwin Inc	4 Armistice Way	Árgos	22706		(319) 2555613	30/11/1985	itwamleyi@seattletimes.com	NO	NO
10/06/2014	21/12/2017	C441975	Fowley	Régine	Rath Group	97844 Springview Road	Doumuhu	22242		(120) 4605678	31/12/1981	cfowleyj@homestead.com	SI	SI
26/07/2013	27/01/2018	C412488	Ovett	Méng	Koss and Sons	59 Anzinger Crossing	Kitimat	28575	BC	(971) 3963692	08/05/1991	novettk@dell.com	SI	SI
13/04/2016	05/07/2018	C96465	Semiraz	Geneviève	Orn and Sons	452 Lien Road	Depok	25829		(510) 5082802	10/01/1951	dsemirazl@cnet.com	NO	NO
09/06/2011	24/09/2017	C803509	Carbry	Maëly	Bradtke, Shanahan and Dare	5230 Canary Center	Hanjiaji	27752		(672) 1048936	19/09/1950	ecarbrym@altervista.org	NO	NO
18/04/2014	08/02/2018	C326767	Hynam	Andréa	Cormier-Skiles	6 Eagan Point	Rancho Viejo	22400	GRO	(162) 7830458	19/10/1975	ehynamn@miitbeian.gov.cn	SI	SI
31/08/2011	19/07/2018	C420084	Godsal	Néhémie	Turcotte and Sons	0952 Colorado Trail	Heilongkou	28877		(434) 4815915	19/07/1959	hgodsalo@narod.ru	NO	NO
26/08/2011	31/05/2018	C416701	O' Reagan	Pénélope	Haag Inc	93 Grasskamp Parkway	Vänersborg	24307	O	(946) 4742339	29/06/1996	zoreaganp@berkeley.edu	NO	NO
18/10/2013	24/01/2018	C822003	Dawbury	Lài	Schinner, Dare and Stehr	1897 Mcguire Point	Boroko	29395		(816) 3527756	10/12/1984	tdawburyq@yelp.com	NO	NO
18/12/2014	20/06/2018	C816086	Hanlon	Eliès	Hirthe-Kovacek	35 Bashford Plaza	Wilamowice	24082		(812) 7493394	03/03/1993	dhanlonr@msn.com	SI	SI
28/12/2014	28/03/2018	C877569	Huett	Anaëlle	Lesch-Barrows	6128 Tennyson Crossing	Maumere	29885		(845) 2315772	29/03/1995	dhuetts@sogou.com	NO	SI
17/08/2011	22/12/2017	C734909	Sorrie	Kallisté	Cassin, Ullrich and Hermiston	95434 Mariners Cove Junction	Ndungu	22167		(986) 6048036	31/05/1977	dsorriet@photobucket.com	NO	NO
03/05/2017	02/05/2018	C498502	Fouldes	Séréna	Beatty Inc	89 Jenifer Crossing	Oslo	26346	03	(961) 7435977	14/02/1979	nfouldesu@shop-pro.jp	SI	NO
07/08/2016	04/02/2018	C410278	Damrel	Marylène	Senger Inc	99 Burning Wood Street	Żabno	23861		(658) 5282338	23/02/1993	jdamrelv@wordpress.com	SI	NO
