NOME;COGNOME;DATA DI NASCITA;INDIRIZZO;CITTA';Country;PV;CAP;TELEFONO;CELL.;E-MAIL ;CONSENSO II
Charles;Sleeny;15/10/1991;33 Vidon Way;Muzambinho;Brazil;XL;37890-000;;014/3427707;csleeny0@linkedin.com;SI
Calvin;Rentenbeck;30/12/1988;82 Farragut Place;Laotai;China;EB;;;830/7828959;crentenbeck1@artisteer.com;SI
Dora;Aireton;17/11/1979;5 Eastlawn Street;Pasargunung;Indonesia;SL;;;868/1446694;daireton2@umn.edu;SI
Dean;Smithen;10/05/1976;72 Buhler Hill;Yovon;Tajikistan;MJ;;;478/0681461;dsmithen3@nyu.edu;SI
Northrup;Wellesley;06/07/1956;101 Hoffman Crossing;Xiongzhou;China;TW;;;625/1566666;nwellesley4@huffingtonpost.com;SI
Othella;Ansty;17/09/1956;41385 Buell Alley;Poddor’ye;Russia;KX;175260;506/5710325;181/9283990;oansty5@amazonaws.com;SI
Ketti;McLauchlin;05/05/1968;2 Nova Parkway;Caocun;China;MJ;;037/8627157;285/7953743;kmclauchlin6@list-manage.com;SI
Iorgos;Furneaux;24/01/1976;7646 Dovetail Road;Migues;Uruguay;YK;;;;ifurneaux7@tripadvisor.com;SI
Berget;Sparling;11/05/1970;5907 Sunbrook Plaza;Sala;Latvia;RZ;;;098/1965885;bsparling8@wired.com;SI
Eugen;Esche;30/11/1998;07359 Thompson Junction;Bako;Ethiopia;BE;;;223/3006478;eesche9@constantcontact.com;SI
