NOME;COGNOME;DATA PRIMO ACCESSO;EMAIL;TELEFONO;ACCESSO SOCIAL;DATI SOCIAL
Sunny;Haselden;28/03/2017;shaselden0@guardian.co.uk;;
Marc;Alvares;28/03/2017;;+396888987296;
;;28/03/2017;;+395658712978;SMS;
;;28/03/2017;dcardero1@slideshare.net;;Google+;
Suzanna;Dowd;28/03/2017;;;Facebook;userurl=&userid=1871821997206096&fullname=Suzanna Dowd&first_name=Suzanna&last_name=Dowd&birthday=&age_range=min:21&gender=female
Alejandro;Espinola;28/03/2017;aespinola9@businesswire.com;;Facebook;userurl=&userid=1479573934948298&fullname=Alejandro Espinola&first_name=Alejandro&last_name=Espinola&birthday=&age_range=max:20,min:18&gender=male
Pattie;Yeliashev;28/03/2017;pyeliashev9@php.net;;Facebook;userurl=&userid=1984384839890369&fullname=Pattie Yeliashev&first_name=Pattie&last_name=Yeliashev&birthday=&age_range=min:21&gender=female
stuart;kelling;29/03/2017;skellingp@walmart.com;+391254762993;SMS;
Leonid;Mergue;29/03/2017;lmerguem@quantcast.com;;Facebook;userurl=&userid=1240943875699972&fullname=Leonid Mergue&first_name=Leonid&last_name=Mergue&birthday=&age_range=max:17,min:13&gender=male
Robert;Johnson;29/03/2017;rjohnson@live.com;;LinkedIn;userurl=https://www.linkedin.com/profile/view?id=AasddsaFHHBmBLNX9O675saaHGPJmykCXAis2Uw&authType=name&authToken=70nl&trk=api*a5642631*s4338570*&userid=ZK2dghLaR3&location=it&picture-url=https%3A%2F%2Fmedia.licdn.com%2Fmpr%2Fmprx%2F0_fw8-KYGJIUSAigdas87khd781y5Z7TGn27qPX4mLrIA5WTmnhwspkOT5sZ142vZkgYIG674Fjhd0vkqM6z6_go2W1xowUvasdfdU3ODDOUObh
Victor;Lusing;29/03/2017;vlusing@gmail.com;;Google+;userurl=https://plus.google.com/128939057267301993826&userid=128939057267301993826&fullname=Victor Lusing&first_name=Victor&last_name=Lusing&locale=it&picture=https://lh3.googleusercontent.com/-JdUIghjmIkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rghjv6H/photo.jpg&gender=male
